account_id,pagerank,in_degree,out_degree,avg_velocity_1h,avg_velocity_24h,max_velocity_1h,txn_count,avg_amount,is_mule,vpa
ACC00000,0.000361,20,9,1.0,1.1111,1,9,83997.8772,1,xavier.nazareth655@okhdfcbank
ACC00001,0.000356,16,11,1.0,1.0909,1,11,75338.0666,1,vedant.sen282@okaxis
ACC00002,0.000216,17,8,1.0,1.0,1,8,69160.4584,1,radhika.lanka755@okhdfcbank
ACC00003,0.000281,13,8,1.0,1.125,1,8,82771.3612,1,ansh.trivedi605@upi
ACC00004,0.00037,17,10,1.0,1.1,1,10,75940.8863,1,yashoda.nadkarni96@okaxis
ACC00005,0.000297,11,7,1.0,1.2857,1,7,72122.9144,1,logan.halder617@okicici
ACC00006,0.000245,13,11,1.0,1.0,1,11,80092.1415,1,daniel.kapadia734@kotak
ACC00007,0.000154,13,10,1.0,1.1,1,10,77135.1515,1,anya.varty460@paytm
ACC00008,0.000531,26,6,1.0,1.3333,1,6,72109.0778,1,daksha.om826@oksbi
ACC00009,0.000603,31,6,1.0,1.0,1,6,79314.429,1,faqid.chandran285@oksbi
ACC00010,0.000253,14,11,1.0,1.1818,1,11,75958.6943,1,tripti.batra345@okhdfcbank
ACC00011,0.000385,15,9,1.0,1.0,1,9,64020.4292,1,aryan.uppal100@ybl
ACC00012,0.000261,20,15,1.0,1.1333,1,15,73986.642,1,nidra.sankar271@okicici
ACC00013,0.000647,27,6,1.0,1.0,1,6,82476.6752,1,chakrika.nath128@upi
ACC00014,0.000202,20,15,1.0667,1.3333,2,15,75575.9466,1,praneel.ramakrishnan301@ybl
ACC00015,0.000435,20,9,1.0,1.0,1,9,80180.0432,1,kiaan.yogi722@okhdfcbank
ACC00016,0.000391,19,8,1.0,1.0,1,8,83270.7942,1,vasana.konda234@paytm
ACC00017,0.000173,13,4,1.0,1.0,1,4,77978.3536,1,eiravati.garg239@okhdfcbank
ACC00018,0.000164,9,13,1.0,1.1538,1,13,74344.3359,1,ojas.kala465@ybl
ACC00019,0.00022,19,6,1.0,1.0,1,6,69872.408,1,gauri.andra364@okaxis
ACC00020,0.000425,24,14,1.0,1.0714,1,14,75690.7171,1,arya.pau960@okhdfcbank
ACC00021,0.000399,16,9,1.0,1.1111,1,9,69534.4538,1,upma.chaudhry176@kotak
ACC00022,0.000324,22,4,1.0,1.0,1,4,75866.7698,1,jhalak.sridhar474@upi
ACC00023,0.000243,15,8,1.0,1.25,1,8,73336.2679,1,lucky.sachdev705@kotak
ACC00024,0.00041,17,12,1.0,1.1667,1,12,78848.8044,1,neelima.dani333@okicici
ACC00025,0.000226,15,9,1.0,1.0,1,9,72736.6006,1,nikita.kibe33@ybl
ACC00026,0.000572,23,8,1.0,1.375,1,8,70957.4749,1,fiyaz.date68@okaxis
ACC00027,0.000183,9,7,1.0,1.0,1,7,72377.7681,1,upadhriti.dube736@ybl
ACC00028,0.000504,23,5,1.0,1.4,1,5,87063.8562,1,mugdha.purohit512@upi
ACC00029,0.000186,8,10,1.0,1.1,1,10,68653.2723,1,chaitanya.jani272@oksbi
ACC00030,0.000338,20,7,1.0,1.0,1,7,82252.5417,1,amruta.chaudhry575@kotak
ACC00031,0.000155,15,14,1.0,1.1429,1,14,71784.9409,1,gabriel.rao599@upi
ACC00032,0.000358,17,14,1.0,1.0714,1,14,82804.8863,1,panini.kalita371@okaxis
ACC00033,0.000572,17,8,1.0,1.125,1,8,68168.1109,1,hamsini.srivastava506@okhdfcbank
ACC00034,0.000384,17,10,1.0,1.3,1,10,78541.5076,1,garima.char113@oksbi
ACC00035,0.000276,13,9,1.0,1.1111,1,9,79408.9118,1,naksh.singhal697@upi
ACC00036,0.000205,22,10,1.0,1.1,1,10,77442.5403,1,champak.kibe395@upi
ACC00037,0.000179,11,10,1.0,1.3,1,10,73747.2223,1,avi.jayaraman542@paytm
ACC00038,0.000374,15,8,1.0,1.25,1,8,67942.5304,1,kiaan.barad966@okicici
ACC00039,0.000246,16,4,1.0,1.0,1,4,70064.9972,1,bishakha.mitra907@kotak
ACC00040,0.00054,25,10,1.0,1.0,1,10,74583.3978,1,lajita.handa657@ybl
ACC00041,0.000584,20,9,1.0,1.2222,1,9,80608.0139,1,niharika.pandya446@oksbi
ACC00042,0.000436,15,11,1.0,1.0909,1,11,78770.6401,1,indrajit.lala977@paytm
ACC00043,0.000294,14,6,1.0,1.1667,1,6,78186.5726,1,ladli.sengupta183@kotak
ACC00044,0.000525,23,14,1.0,1.0,1,14,75777.0848,1,nandini.dhingra641@paytm
ACC00045,0.000367,23,9,1.0,1.2222,1,9,75739.0331,1,anjali.andra204@oksbi
ACC00046,0.000377,23,7,1.0,1.1429,1,7,72802.2969,1,imaran.kapur166@kotak
ACC00047,0.000397,20,14,1.0,1.2143,1,14,79008.4493,1,daksha.saxena614@ybl
ACC00048,0.000329,18,17,1.0,1.1176,1,17,76051.9815,1,saumya.cheema115@ybl
ACC00049,0.000452,19,8,1.0,1.0,1,8,77901.8784,1,upkaar.biswas60@okaxis
ACC00050,0.000237,11,12,1.0,1.0833,1,12,72109.4217,1,vyanjana.panchal88@ibl
ACC00051,0.000144,11,8,1.0,1.125,1,8,76118.0523,1,indali.sen546@oksbi
ACC00052,0.000229,13,10,1.0,1.1,1,10,68803.7394,1,odika.sathe487@kotak
ACC00053,0.000283,18,9,1.0,1.1111,1,9,75346.0833,1,amaira.viswanathan541@upi
ACC00054,0.000433,20,9,1.0,1.1111,1,9,74409.705,1,jonathan.bali774@okaxis
ACC00055,0.000196,20,16,1.0625,1.1875,2,16,70168.7433,1,kashish.aurora688@ybl
ACC00056,0.000203,13,12,1.0,1.0833,1,12,71164.5246,1,jasmit.raghavan463@okhdfcbank
